DATE,IITTRHB
1974-01-01,70.000
1975-01-01,70.000
1976-01-01,70.000
1977-01-01,70.000
1978-01-01,70.000
1979-01-01,70.000
1980-01-01,70.000
1981-01-01,69.125
1982-01-01,50.000
1983-01-01,50.000
1984-01-01,50.000
1985-01-01,50.000
1986-01-01,50.000
1987-01-01,38.500
1988-01-01,28.000
1989-01-01,28.000
1990-01-01,28.000
1991-01-01,31.000
1992-01-01,31.000
1993-01-01,39.600
1994-01-01,39.600
1995-01-01,39.600
1996-01-01,39.600
1997-01-01,39.600
1998-01-01,39.600
1999-01-01,39.600
2000-01-01,39.600
2001-01-01,39.100
2002-01-01,38.600
2003-01-01,35.000
2004-01-01,35.000
2005-01-01,35.000
2006-01-01,35.000
2007-01-01,35.000
2008-01-01,35.000
2009-01-01,35.000
2010-01-01,35.000
2011-01-01,35.000
2012-01-01,35.000
2013-01-01,39.600
2014-01-01,39.600
2015-01-01,39.600
2016-01-01,39.6
2017-01-01,39.6
2018-01-01,37.0
2019-01-01,37.0
